innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
Sri Lanka,Kusal Perera,51,28,46,9,2,182.14,c Santner b Ferguson,4698
Sri Lanka,Kusal Mendis,6,7,11,1,0,85.71,c Ravindra b Boult,4698
Sri Lanka,Sadeera Samarawickrama,1,2,2,0,0,50.00,c Mitchell b Boult,4698
Sri Lanka,Charith Asalanka,8,8,16,1,0,100.00,lbw b Boult,4698
Sri Lanka,Angelo Mathews,16,27,33,2,0,59.25,c Mitchell b Santner,4698
Sri Lanka,Dhananjaya de Silva,19,24,36,2,1,79.16,c Mitchell b Santner,4698
Sri Lanka,Chamika Karunaratne,6,17,28,1,0,35.29,c †Latham b Ferguson,4698
Sri Lanka,Maheesh Theekshana,38,91,109,3,0,41.75,null,4698
Sri Lanka,Dushmantha Chameera,1,20,32,0,0,5.00,c Boult b Ravindra,4698
Sri Lanka,Dilshan Madushanka,19,48,56,2,0,39.58,c †Latham b Ravindra,4698
New Zealand,Devon Conway,45,42,54,9,0,107.14,c de Silva b Chameera,4698
New Zealand,Rachin Ravindra,42,34,61,3,3,123.52,c de Silva b Theekshana,4698
New Zealand,Kane Williamson,14,15,26,2,0,93.33, b Mathews,4698
New Zealand,Daryl Mitchell,43,31,45,5,2,138.70,c Asalanka b Mathews,4698
New Zealand,Mark Chapman,7,6,13,1,0,116.66,run out (Samarawickrama/Mathews),4698
New Zealand,Glenn Phillips,17,10,15,3,0,170.00,null,4698
New Zealand,Tom Latham,2,2,3,0,0,100.00,null,4698
England,Jonny Bairstow,15,17,29,2,0,88.23,c van Meekeren b Dutt,4697
England,Dawid Malan,87,74,92,10,2,117.56,run out (†Edwards/van Beek),4697
England,Joe Root,28,35,53,1,0,80.00, b van Beek,4697
England,Ben Stokes,108,84,136,6,6,128.57,c Engelbrecht b van Beek,4697
England,Harry Brook,11,16,19,2,0,68.75,c Ackermann b de Leede,4697
England,Jos Buttler,5,11,12,0,0,45.45,c Nidamanuru b van Meekeren,4697
England,Moeen Ali,4,15,20,0,0,26.66,c de Leede b Dutt,4697
England,Chris Woakes,51,45,66,5,1,113.33,c †Edwards b de Leede,4697
England,David Willey,6,2,1,0,1,300.00,c Engelbrecht b de Leede,4697
England,Gus Atkinson,2,1,7,0,0,200.00,null,4697
England,Adil Rashid,1,1,3,0,0,100.00,null,4697
Netherlands,Wesley Barresi,37,62,77,3,1,59.67,run out (Woakes/Ali),4697
Netherlands,Max O'Dowd,5,11,20,1,0,45.45,c Ali b Woakes,4697
Netherlands,Colin Ackermann,0,2,4,0,0,0.00,c †Buttler b Willey,4697
